0	1	2
0	11	-1
0	12	2
0	132	2
1	2	-2
1	13	1
1	133	-1
2	3	-2
2	14	-1
2	134	2
3	4	-2
3	15	-2
3	135	-1
4	5	1
4	16	-1
4	136	-1
5	6	2
5	17	-1
5	137	-1
6	7	-1
6	18	-2
6	138	1
7	8	2
7	19	2
7	139	1
8	9	-1
8	20	-1
8	140	-2
9	10	-2
9	21	1
9	141	2
10	11	2
10	22	1
10	142	1
11	23	1
11	143	1
12	13	-1
12	23	-1
12	24	-2
13	14	2
13	25	-2
14	15	2
14	26	2
15	16	-1
15	27	-2
16	17	-1
16	28	1
17	18	1
17	29	-2
18	19	-2
18	30	1
19	20	-1
19	31	2
20	21	-1
20	32	2
21	22	1
21	33	-2
22	23	-2
22	34	-1
23	35	-2
24	25	-2
24	35	2
24	36	1
25	26	1
25	37	-2
26	27	-2
26	38	2
27	28	-2
27	39	-1
28	29	-1
28	40	1
29	30	1
29	41	1
30	31	-1
30	42	-2
31	32	1
31	43	-1
32	33	1
32	44	1
33	34	-2
33	45	1
34	35	1
34	46	2
35	47	2
36	37	-2
36	47	1
36	48	-1
37	38	1
37	49	-1
38	39	-1
38	50	1
39	40	1
39	51	1
40	41	1
40	52	1
41	42	-2
41	53	1
42	43	2
42	54	1
43	44	-1
43	55	1
44	45	-1
44	56	1
45	46	-2
45	57	2
46	47	-1
46	58	2
47	59	2
48	49	2
48	59	1
48	60	1
49	50	1
49	61	2
50	51	2
50	62	1
51	52	-1
51	63	-1
52	53	1
52	64	1
53	54	2
53	65	1
54	55	-1
54	66	-1
55	56	2
55	67	-1
56	57	-2
56	68	1
57	58	1
57	69	-2
58	59	2
58	70	-1
59	71	2
60	61	-2
60	71	-2
60	72	2
61	62	-2
61	73	-2
62	63	2
62	74	1
63	64	1
63	75	1
64	65	-1
64	76	2
65	66	-1
65	77	2
66	67	1
66	78	1
67	68	-2
67	79	-1
68	69	-1
68	80	-1
69	70	2
69	81	1
70	71	2
70	82	1
71	83	2
72	73	-1
72	83	1
72	84	2
73	74	-1
73	85	2
74	75	-1
74	86	1
75	76	-1
75	87	-2
76	77	-2
76	88	1
77	78	1
77	89	2
78	79	2
78	90	1
79	80	1
79	91	1
80	81	-1
80	92	-1
81	82	-1
81	93	2
82	83	-1
82	94	-2
83	95	2
84	85	2
84	95	-2
84	96	-1
85	86	2
85	97	-1
86	87	-2
86	98	2
87	88	1
87	99	1
88	89	2
88	100	-1
89	90	-1
89	101	1
90	91	-2
90	102	-2
91	92	1
91	103	2
92	93	-2
92	104	2
93	94	2
93	105	-2
94	95	-1
94	106	1
95	107	1
96	97	-1
96	107	-1
96	108	1
97	98	1
97	109	-1
98	99	1
98	110	2
99	100	1
99	111	2
100	101	1
100	112	-2
101	102	-2
101	113	-2
102	103	2
102	114	-2
103	104	-1
103	115	1
104	105	2
104	116	2
105	106	2
105	117	1
106	107	-1
106	118	1
107	119	-1
108	109	-2
108	119	2
108	120	2
109	110	-1
109	121	2
110	111	-2
110	122	-2
111	112	-2
111	123	2
112	113	-2
112	124	-1
113	114	-2
113	125	1
114	115	1
114	126	2
115	116	1
115	127	-1
116	117	-1
116	128	1
117	118	1
117	129	2
118	119	-2
118	130	1
119	131	1
120	121	-2
120	131	-1
120	132	-2
121	122	-1
121	133	1
122	123	2
122	134	2
123	124	-2
123	135	1
124	125	1
124	136	1
125	126	1
125	137	1
126	127	1
126	138	1
127	128	1
127	139	2
128	129	2
128	140	1
129	130	-1
129	141	-2
130	131	2
130	142	1
131	143	2
132	133	-1
132	143	2
133	134	-1
134	135	-2
135	136	2
136	137	-2
137	138	2
138	139	-2
139	140	1
140	141	1
141	142	2
142	143	-2
