0	1	2
0	11	-2
0	12	2
0	132	2
1	2	-1
1	13	-1
1	133	1
2	3	-1
2	14	-1
2	134	1
3	4	-1
3	15	-1
3	135	-1
4	5	-2
4	16	-2
4	136	-1
5	6	-1
5	17	1
5	137	-2
6	7	2
6	18	-1
6	138	1
7	8	1
7	19	-1
7	139	1
8	9	2
8	20	2
8	140	1
9	10	1
9	21	-1
9	141	1
10	11	-2
10	22	-2
10	142	-2
11	23	-2
11	143	1
12	13	1
12	23	2
12	24	2
13	14	1
13	25	1
14	15	1
14	26	-1
15	16	1
15	27	-2
16	17	-2
16	28	-1
17	18	-2
17	29	-2
18	19	-2
18	30	-1
19	20	2
19	31	1
20	21	1
20	32	-2
21	22	-1
21	33	-2
22	23	1
22	34	2
23	35	-1
24	25	2
24	35	2
24	36	2
25	26	1
25	37	-1
26	27	2
26	38	1
27	28	-2
27	39	1
28	29	-1
28	40	1
29	30	1
29	41	-2
30	31	-1
30	42	-2
31	32	2
31	43	2
32	33	-1
32	44	2
33	34	-1
33	45	-1
34	35	-1
34	46	1
35	47	-1
36	37	1
36	47	-1
36	48	-1
37	38	-2
37	49	1
38	39	-1
38	50	1
39	40	-1
39	51	2
40	41	-2
40	52	1
41	42	1
41	53	-2
42	43	-2
42	54	-2
43	44	-1
43	55	-1
44	45	-2
44	56	-1
45	46	2
45	57	2
46	47	-1
46	58	1
47	59	-2
48	49	1
48	59	2
48	60	-2
49	50	2
49	61	-2
50	51	2
50	62	-2
51	52	2
51	63	2
52	53	-2
52	64	-1
53	54	-1
53	65	2
54	55	1
54	66	-1
55	56	1
55	67	2
56	57	2
56	68	-1
57	58	-2
57	69	-1
58	59	1
58	70	-2
59	71	1
60	61	-1
60	71	2
60	72	-1
61	62	1
61	73	-2
62	63	1
62	74	2
63	64	2
63	75	2
64	65	-1
64	76	-1
65	66	1
65	77	2
66	67	2
66	78	2
67	68	-2
67	79	2
68	69	-2
68	80	2
69	70	1
69	81	-1
70	71	2
70	82	-1
71	83	-2
72	73	1
72	83	-1
72	84	2
73	74	1
73	85	2
74	75	-2
74	86	1
75	76	1
75	87	2
76	77	1
76	88	2
77	78	-1
77	89	1
78	79	1
78	90	-1
79	80	1
79	91	-1
80	81	-1
80	92	2
81	82	-1
81	93	-1
82	83	2
82	94	2
83	95	-1
84	85	-2
84	95	1
84	96	-1
85	86	2
85	97	-1
86	87	2
86	98	2
87	88	2
87	99	2
88	89	-2
88	100	1
89	90	-2
89	101	1
90	91	-1
90	102	-2
91	92	2
91	103	-1
92	93	-2
92	104	-1
93	94	-2
93	105	-2
94	95	1
94	106	-1
95	107	-1
96	97	1
96	107	-1
96	108	-2
97	98	1
97	109	1
98	99	2
98	110	-2
99	100	-1
99	111	1
100	101	2
100	112	1
101	102	-2
101	113	-2
102	103	1
102	114	-2
103	104	-2
103	115	-2
104	105	-1
104	116	1
105	106	1
105	117	1
106	107	-2
106	118	1
107	119	1
108	109	2
108	119	-1
108	120	2
109	110	1
109	121	1
110	111	1
110	122	-1
111	112	-2
111	123	1
112	113	1
112	124	-1
113	114	-2
113	125	-2
114	115	-1
114	126	-1
115	116	-1
115	127	-2
116	117	1
116	128	-2
117	118	1
117	129	2
118	119	2
118	130	1
119	131	1
120	121	2
120	131	2
120	132	-1
121	122	1
121	133	2
122	123	-1
122	134	-1
123	124	-2
123	135	1
124	125	-2
124	136	1
125	126	2
125	137	-1
126	127	-2
126	138	1
127	128	2
127	139	2
128	129	2
128	140	1
129	130	-2
129	141	-1
130	131	-1
130	142	-1
131	143	1
132	133	2
132	143	2
133	134	1
134	135	-1
135	136	1
136	137	-2
137	138	-2
138	139	2
139	140	-1
140	141	1
141	142	2
142	143	-1
