0	1	2
0	11	1
0	12	2
0	132	2
1	2	-2
1	13	2
1	133	1
2	3	2
2	14	1
2	134	2
3	4	2
3	15	2
3	135	2
4	5	-1
4	16	-1
4	136	-1
5	6	2
5	17	1
5	137	1
6	7	-1
6	18	2
6	138	1
7	8	1
7	19	2
7	139	-1
8	9	-2
8	20	1
8	140	1
9	10	-1
9	21	-2
9	141	-2
10	11	1
10	22	-2
10	142	-1
11	23	-2
11	143	2
12	13	-1
12	23	1
12	24	-1
13	14	-2
13	25	-1
14	15	-1
14	26	-1
15	16	-2
15	27	-1
16	17	-1
16	28	-2
17	18	1
17	29	-1
18	19	2
18	30	-1
19	20	-2
19	31	1
20	21	-1
20	32	-2
21	22	-1
21	33	1
22	23	-1
22	34	1
23	35	-1
24	25	-2
24	35	-1
24	36	1
25	26	1
25	37	-1
26	27	-1
26	38	-2
27	28	1
27	39	-2
28	29	-2
28	40	-2
29	30	-1
29	41	1
30	31	1
30	42	-1
31	32	-1
31	43	1
32	33	-2
32	44	1
33	34	1
33	45	-1
34	35	-1
34	46	1
35	47	-2
36	37	-2
36	47	1
36	48	2
37	38	2
37	49	2
38	39	2
38	50	2
39	40	-1
39	51	-2
40	41	-1
40	52	-2
41	42	2
41	53	1
42	43	2
42	54	2
43	44	1
43	55	2
44	45	-1
44	56	-2
45	46	-2
45	57	-2
46	47	-2
46	58	2
47	59	2
48	49	-1
48	59	-2
48	60	-1
49	50	-1
49	61	1
50	51	-2
50	62	-1
51	52	2
51	63	1
52	53	1
52	64	1
53	54	-1
53	65	2
54	55	1
54	66	-1
55	56	1
55	67	1
56	57	-1
56	68	1
57	58	-1
57	69	-2
58	59	1
58	70	2
59	71	-1
60	61	-1
60	71	1
60	72	-2
61	62	1
61	73	-1
62	63	-2
62	74	2
63	64	-1
63	75	2
64	65	-2
64	76	2
65	66	1
65	77	-1
66	67	1
66	78	-1
67	68	-1
67	79	-1
68	69	-2
68	80	2
69	70	-2
69	81	-1
70	71	1
70	82	-2
71	83	-1
72	73	1
72	83	-2
72	84	-1
73	74	2
73	85	2
74	75	-2
74	86	1
75	76	2
75	87	-1
76	77	-1
76	88	2
77	78	-1
77	89	1
78	79	2
78	90	-1
79	80	-2
79	91	1
80	81	-1
80	92	-2
81	82	1
81	93	1
82	83	-2
82	94	-1
83	95	1
84	85	2
84	95	-2
84	96	-2
85	86	2
85	97	-1
86	87	-2
86	98	-1
87	88	2
87	99	-1
88	89	2
88	100	2
89	90	-1
89	101	-2
90	91	2
90	102	-2
91	92	-1
91	103	1
92	93	-2
92	104	1
93	94	1
93	105	1
94	95	-2
94	106	2
95	107	-2
96	97	1
96	107	1
96	108	2
97	98	-2
97	109	-2
98	99	1
98	110	-1
99	100	2
99	111	1
100	101	-1
100	112	-1
101	102	1
101	113	-1
102	103	-2
102	114	1
103	104	1
103	115	2
104	105	-1
104	116	1
105	106	-2
105	117	1
106	107	1
106	118	-2
107	119	-1
108	109	1
108	119	2
108	120	-1
109	110	-2
109	121	2
110	111	1
110	122	1
111	112	2
111	123	-1
112	113	1
112	124	-2
113	114	1
113	125	2
114	115	2
114	126	2
115	116	-1
115	127	2
116	117	1
116	128	2
117	118	1
117	129	-1
118	119	-1
118	130	1
119	131	2
120	121	-1
120	131	1
120	132	-1
121	122	2
121	133	-2
122	123	-2
122	134	1
123	124	-1
123	135	1
124	125	1
124	136	-1
125	126	-1
125	137	2
126	127	2
126	138	-1
127	128	2
127	139	-2
128	129	-1
128	140	-2
129	130	1
129	141	1
130	131	-2
130	142	1
131	143	1
132	133	1
132	143	-2
133	134	2
134	135	1
135	136	1
136	137	2
137	138	-2
138	139	-1
139	140	2
140	141	-1
141	142	2
142	143	2
